Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algérie,DZA,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741
Asie de l’Est et Pacifique (hors revenu élevé),EAP,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16305210,16305210,16307250,16307330,16307330,16307330,16307330,16307330,16307330,16307330,16305990,16306000,16306000,16306670,16307580,16307610,16307630,16307630,16307630,16307630,16307630,16307630,16307630,16305760,16305770.2,16305820.2,16305829.7,16305834.5,16307731.8,16307732,16307732,16307571,16307571.5,16307474.7,16307477.9,16307491.9,16307089.3,16307353.3,16309952.4,16309955.5,16313191.8,16313236.1
de dividende précoce démographique,EAR,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34260340,34260360,34142760,34135837,34135837,34135837,34135837,34108647,34108647,34108647,34108647,34108647,34108657,34138952.64,34138965.43,34138965.65,34138970.28,34138978.35,34139517.49,34139522.13,34139527.78,34139531.64,34136231.42,34138949.42,34141608.91,34141601.69,34145187.76,34144822.61
Asie de l’Est et Pacifique,EAS,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24857840,24857840,24859880,24859960,24859960,24859960,24859960,24859960,24859960,24859960,24858620,24858630,24858630,24859300,24861130,24861160,24861180,24861180,24861190,24861200,24861200,24861200,24861200,24859340,24859716.2,24859832.2,24859873.7,24859911.5,24861838.8,24861884.6,24861936.2,24861900.2,24861978,24862016.4,24862026.8,24862167.8,24861884.6,24862169.6,24864793.8,24864844,24868101.6,24868162
Europe et Asie centrale (hors revenu élevé),ECA,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247167,23247169,23247239,23247239,23247249,23247249,23247239,23247239,23247239,23247239,23247239,23247239,23247239,23247259,23247259,23247259,23247259,23247259,23247258,23247268,23247268,23247268,23243971,23247618,23247622,23247623,23247623,23236736
Europe et Asie centrale,ECS,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395785.03,28395787.03,28395877.03,28395887.03,28395917.03,28395997.03,28464737.03,28464667.03,28464667.03,28463678.03,28463698.03,28464008.03,28464358.03,28464138.03,28464158.03,28464448.03,28464500.92,28464515.92,28464650.92,28464844.92,28464826.92,28493629.92,28731092.23,28734845.52,28734861.69,28735058.15,28734886.25,28724765.79
Équateur,ECU,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370
"Égypte, République arabe d’",EGY,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450
Zone euro,EMU,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758384,2758404,2758414,2758434,2758444,2758444,2758444,2758444,2757455,2757475,2757785,2758135,2757845,2757865,2758165,2758145,2758160,2758296,2758480,2758462,2758832,2759542.2,2759643.6,2759682.6,2759868.6,2759673.83,2760428.889
Érythrée,ERI,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600
Espagne,ESP,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505000,505020,505320,505370,505370,505370,505370,505370,505370,505370,505600,505600,505940,505940,505940,505924,505935,505935.23,505957.289
Estonie,EST,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45340,45340,45340,45340,45340,45340
Éthiopie,ETH,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1136268.641,1136271.43,1136271.646,1136266.279,1136264.348,1136263.489,1136264.131,1136264.777,1136265.636,1136262.415,1136262.415,1136260.912,1136257.692,1136255.762,1136259.41
Union européenne,EUU,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142284,4142304,4142314,4142334,4142414,4142414,4142344,4142344,4141355,4141375,4141685,4142035,4141805,4141825,4142115,4142095,4142110,4142246,4142430,4142412,4171215,4171935.2,4172036.6,4172085.6,4172271.6,4172076.83,4172838.889
Fragile et les situations de conflit touchées,FCS,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16860218,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16861098,16858018,16858018,19346031.68,19346030.92,19345841.98,19345842.15,19345843.17,19345841.57,19345843.88,19334954.98
Finlande,FIN,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338440,338420,338420,338420,338420,338420,338420,338420,338420,338446,338450,338450,338450
Fidji,FJI,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
France,FRA,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549087,549087,549087,549387,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087
Îles Féroé,FRO,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
"Micronésie, États fédérés de",FSM,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Gabon,GAB,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670
Royaume-Uni,GBR,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610
Géorgie,GEO,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700
Ghana,GHA,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540
Gibraltar,GIB,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Guinée,GIN,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860
Gambie,GMB,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300
Guinée-Bissau,GNB,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130
Guinée équatoriale,GNQ,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Grèce,GRC,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960
Grenade,GRD,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Groenland,GRL,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Guatemala,GTM,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890
Guam,GUM,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guyane,GUY,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970
Revenu élevé,HIC,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862252.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36862162.33,36863082.33,36863102.33,36863122.33,36863132.33,36863162.33,36863252.33,36932002.33,36931932.33,36931932.33,36933893.33,36934279.33,36934655.33,36935047.33,36934850.33,36934910.33,36935245.93,36935360.42,37134990.42,37135203.72,37135524.92,37135514.72,37164447.72,37409562.43,37409470.72,37409514.99,37410362.55,37410212.95,37410995.59
"Chine, RAS de Hong Kong",HKG,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1080,1090,1090,1090,1090,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1105,1106,1110,1110,1110
Honduras,HND,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490
Pays pauvres très endettés (PPTE),HPC,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,18005141,17887541,17887541,17887541,17887541,17887541,17887541,17887541,17887541,17887541,17887541,17887541,17919509.64,17919512.43,17919512.65,17919507.28,17919505.35,17919504.49,17919505.13,19773867.67,19773867.66,19773863.76,19773863.19,19773862.7,19773858.61,19773858.69,19773860.82
Croatie,HRV,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56610,56610,56540,56540,56540,56540,56540,56540,56590,56590,56590,56590,56590,56590,56590,56590,88073,88073,88073,88073,88073,88073,88070
Haïti,HTI,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750
Hongrie,HUN,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030
BIRD seulement,IBD,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73010126,73008006,73008006,73010046,73010036,73010036,73010036,73010036,73010036,73010036,73010036,73008696,73008706,73008706,73009376,73009866,73009898,73009988,73009988,73009998,73010068,73010058,72982798,72982798,72980928,72980938.2,72980988.2,72980997.7,72981072.5,72982969.8,72982960,72982960,72982799,72980259.5,72980174.7,72980177.9,73011672.9,73011093.3,73011256.3,73013856.4,73014458.5,73017694.8,73017747.1
BIRD et IDA,IBT,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96160184,96158064,96158064,96160104,96160094,96160094,96160094,96160094,96160094,96160094,96160094,96158754,96158764,96158764,96159434,96160804,96160836,96043326,96036403,96036413,96036483,96036473,96009213,96009213,96007343,96007353.2,96007403.2,96007412.7,96037773.14,96039673.23,96039663.65,96039658.28,96039495.35,96036953.99,96036869.83,98525142.36,98556637.46,98552756.7,98555736.87,98558340.48,98558938.77,98562522.44,98551278.49
IDA totale,IDA,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150058,23150938,23150938,23033338,23026415,23026415,23026415,23026415,23026415,23026415,23026415,23026415,23026415,23026415,23056700.64,23056703.43,23056703.65,23056698.28,23056696.35,23056694.49,23056695.13,25544964.46,25544964.56,25541663.4,25544480.57,25544484.08,25544480.27,25544827.64,25533531.39
IDA mélange,IDB,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4457950,4454653,4459474,4459474,4459474,4459474,4459474
Indonésie,IDN,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910931,1913580,1913580,1916820,1916862.2
IDA seulement,IDX,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692108,18692988,18692988,18575388,18568465,18568465,18568465,18568465,18568465,18568465,18568465,18568465,18568465,18568465,18598750.64,18598753.43,18598753.65,18598748.28,18598746.35,18598744.49,18598745.13,21087014.46,21087014.56,21087010.4,21085006.57,21085010.08,21085006.27,21085353.64,21074057.39
Île de Man,IMN,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
Inde,IND,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287259,3287259,3287259,3287259,3287259
Non classifié,INX,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irlande,IRL,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280
"Iran, République islamique d’",IRN,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150
Iraq,IRQ,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,435240,435240,435240,435240,435052,435052,435052,435052,435052,435052
Islande,ISL,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
Israël,ISR,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070
Italie,ITA,Superficie (kilomètres carrés),AG.SRF.TOTL.K2,,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,302070
